DateRecorded_Day,DateRecorded_Month,DateRecorded_Year,DepartureTime_Hour,GroundTransportationTo_fromAirport,ParkingFacilities,ParkingFacilities_valueForMoney_,AvailabilityOfBaggageCarts,EfficiencyOfCheck_inStaff,Check_inWaitTime,CourtesyOfOfCheck_inStaff,WaitTimeAtPassportInspection,CourtesyOfInspectionStaff,CourtesyOfSecurityStaff,ThoroughnessOfSecurityInspection,WaitTimeOfSecurityInspection,FeelingOfSafetyAndSecurity,EaseOfFindingYourWayThroughTheAirport,FlightInformationScreens,WalkingDistanceInsideTerminal,EaseOfMakingConnections,CourtesyOfAirportStaff,Restaurants,Restaurants_valueForMoney_,AvailabilityOfBanks_ATM_moneyChanging,ShoppingFacilities,ShoppingFacilities_valueForMoney_,InternetAccess,Business_executiveLounges,AvailabilityOfWashrooms,CleanlinessOfWashrooms,ComfortOfWaiting_gateAreas,CleanlinessOfAirportTerminal,AmbienceOfAirport,ArrivalsPassportAndVisaInspection,SpeedOfBaggageDelivery,CustomsInspection,OverallSatisfaction
4,9,2016,11,0,0,0,0,5,0,0,3,4,4,5,2,4,5,5,5,0,0,0,0,0,0,0,0,0,4,0,4,5,4,4,0,0,0
1,5,2016,16,0,0,0,0,5,0,0,2,3,3,0,2,3,5,5,4,0,0,4,3,0,0,0,4,0,0,0,4,4,4,4,0,0,0
7,4,2016,11,4,4,4,5,5,5,5,3,4,5,5,5,5,0,5,0,0,5,5,5,0,5,0,0,0,5,5,5,5,5,4,0,5,0
2,9,2016,17,0,0,0,0,4,0,0,3,4,4,4,2,3,4,4,4,0,0,0,2,0,0,0,0,0,4,4,4,4,4,4,0,0,0
4,8,2016,7,5,0,0,0,4,4,4,5,5,2,3,2,3,4,3,5,0,4,4,4,3,4,3,2,2,4,4,2,5,4,4,0,4,0
2,8,2016,9,5,5,2,0,4,5,5,0,0,5,5,5,5,5,5,5,0,5,5,5,0,5,5,5,5,5,5,5,5,5,5,0,5,0
6,5,2016,19,2,3,3,3,5,5,5,5,5,4,4,4,3,5,5,4,0,4,4,3,0,0,0,0,0,4,4,4,4,4,4,0,4,0
4,9,2016,9,0,0,0,0,0,0,0,0,3,4,2,5,3,2,4,4,0,4,0,0,0,0,0,0,0,0,0,4,5,4,5,0,0,0
6,6,2016,8,0,0,0,0,4,5,5,5,5,5,4,5,5,5,5,5,0,5,5,5,0,0,0,2,0,4,4,4,5,5,5,0,0,0
9,4,2016,18,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,0,0,5,4,0,0,0,5,0,5,5,5,5,5,5,0,4,0
9,4,2016,18,0,0,0,0,5,4,3,4,4,1,3,1,3,5,3,3,0,0,1,1,0,0,0,0,0,4,4,2,3,3,2,0,3,0
4,9,2016,10,3,0,0,0,4,3,4,0,0,0,0,0,3,5,4,5,0,4,3,0,0,0,0,2,0,0,0,4,4,4,4,0,0,0
11,7,2016,18,5,0,0,0,0,0,0,1,1,5,5,4,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,0,5,0
2,8,2016,10,0,0,0,0,5,5,5,0,0,5,5,5,5,4,5,5,0,0,0,0,0,0,0,0,0,4,4,4,5,4,5,0,4,0
4,8,2016,8,0,3,4,0,5,5,5,5,5,5,5,5,5,5,5,5,0,5,3,2,0,4,2,0,0,5,5,2,5,5,4,0,2,0
7,4,2016,11,3,0,0,0,4,4,5,5,5,5,5,4,5,4,5,5,0,5,4,3,0,0,0,5,0,4,4,4,5,4,4,0,0,0
5,4,2016,7,0,0,0,0,3,3,3,4,4,4,4,3,3,4,4,4,0,4,4,4,0,0,0,4,0,0,0,4,5,5,5,0,0,0
4,8,2016,8,3,4,3,2,0,0,0,4,3,3,3,3,3,4,4,3,0,0,0,0,0,0,0,0,0,4,3,2,3,3,4,0,3,0
1,5,2016,16,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,5,0,5,0,0,0,0,0,0,0,5,4,4,4,4,5,0,5,0
6,6,2016,8,4,0,0,0,5,5,5,5,5,5,4,5,5,5,5,4,0,5,3,0,0,3,0,0,0,0,0,4,5,5,4,0,0,0
5,4,2016,7,5,0,0,4,5,5,5,4,4,5,5,5,5,5,5,5,0,5,5,5,4,4,2,2,2,2,4,4,5,5,4,0,4,0
6,7,2016,13,3,0,0,3,3,3,3,5,5,3,3,3,3,3,3,3,0,4,3,3,0,0,0,0,0,3,3,2,3,3,4,0,0,0
7,4,2016,10,5,0,0,0,5,5,5,5,5,5,5,5,5,5,5,3,0,5,0,0,0,5,4,4,0,5,5,3,5,5,4,0,0,0
4,8,2016,8,3,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,3,3,3,0,0,3,3,3,3,3,3,0,3,0
6,5,2016,20,3,0,0,3,5,5,5,5,5,5,5,5,5,5,0,5,0,4,0,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0
6,7,2016,14,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,5,0,5,3,5,5,5,4,0,0,0
6,5,2016,18,4,0,0,0,0,0,0,0,0,4,3,5,3,4,4,4,0,4,0,0,0,0,0,5,0,0,0,4,4,4,4,0,0,0
3,9,2016,11,5,5,3,0,5,3,0,5,5,5,5,3,3,5,5,5,0,5,4,3,0,0,0,0,0,4,0,4,4,4,4,0,0,0
1,6,2016,16,4,0,0,0,3,3,4,3,4,4,4,3,4,5,5,5,0,5,4,4,3,0,0,2,0,4,4,3,4,4,4,0,0,0
3,9,2016,14,2,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,0,3,1,3,2,4,3,5,5,4,0,5,0
1,5,2016,14,5,0,0,0,4,5,5,0,0,5,5,4,4,5,5,5,0,5,4,4,0,4,4,2,0,5,5,4,5,4,5,0,0,0
5,4,2016,7,4,0,0,0,0,0,0,5,4,0,4,5,4,5,5,5,0,0,0,0,0,0,0,1,0,0,0,4,4,4,4,0,0,0
9,4,2016,19,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0
7,4,2016,9,0,3,3,0,5,5,5,5,5,5,5,5,5,5,5,5,0,5,0,0,0,5,3,0,0,5,5,5,5,5,5,0,0,0
2,9,2016,17,0,0,0,0,4,4,4,5,5,5,5,5,5,5,5,5,0,5,5,4,0,4,4,0,0,4,4,3,4,3,4,0,4,0
1,6,2016,16,4,0,0,0,4,5,5,5,5,5,5,5,5,5,5,5,0,5,5,0,0,0,0,0,0,0,0,4,5,4,5,0,5,0
5,4,2016,7,0,0,0,0,2,2,3,4,4,1,2,2,3,4,4,4,0,0,0,0,0,0,0,0,0,3,3,3,4,4,3,0,0,0
6,7,2016,15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,4,4,4,5,5,2,0,5,5,5,5,5,5,0,5,0
2,9,2016,18,5,0,0,3,5,5,5,0,0,4,4,4,4,5,5,4,0,4,4,3,0,3,3,0,0,4,4,3,3,3,4,0,2,0
1,6,2016,12,3,0,0,0,3,3,4,0,0,4,4,4,4,5,5,5,0,5,4,4,0,4,3,0,0,4,4,4,5,4,5,0,4,0
9,4,2016,18,3,0,0,0,0,0,0,0,0,4,4,1,5,2,3,4,0,4,4,4,0,0,0,1,0,3,1,4,5,4,4,0,0,0
7,4,2016,9,5,0,0,0,5,5,5,5,5,5,5,5,5,5,4,4,0,5,4,3,0,0,3,2,0,4,4,4,4,4,5,0,0,0
6,7,2016,14,3,0,0,3,2,3,3,2,3,4,4,2,4,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,0
6,6,2016,11,0,0,0,0,5,4,5,5,5,5,5,5,5,5,5,5,0,5,5,5,0,0,0,0,5,5,0,5,5,4,5,0,5,0
4,9,2016,8,4,4,3,0,0,0,0,0,0,4,4,4,3,4,4,5,0,4,3,3,2,0,0,3,0,4,4,3,4,4,4,0,0,0
2,9,2016,16,5,0,0,0,5,5,5,3,5,5,5,3,5,5,0,5,0,0,4,4,0,5,4,5,0,5,5,5,5,5,5,0,5,0
4,9,2016,8,0,0,0,3,4,4,2,5,4,4,4,4,4,4,4,4,0,3,4,4,4,4,4,0,0,4,4,4,4,4,4,0,2,0
9,4,2016,17,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,5,0,0,0,0,0,0,0,0,0,5,5,5,5,4,5,0,4,0
6,7,2016,13,5,3,4,0,5,5,5,5,5,5,4,5,4,5,5,5,0,0,4,4,0,4,3,0,0,5,5,4,5,5,5,0,0,0
4,8,2016,7,4,0,0,4,5,5,5,5,5,0,0,5,4,5,5,5,0,5,4,4,0,0,0,3,5,5,0,5,5,5,4,0,4,0
2,8,2016,11,5,0,0,0,0,0,3,5,3,5,5,5,5,5,5,5,0,5,0,0,0,3,4,5,0,5,5,5,5,5,5,0,0,0
2,8,2016,9,0,0,0,0,5,5,5,5,5,5,4,5,3,5,5,5,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,0,3,0
1,6,2016,14,2,0,0,0,4,4,4,4,3,3,0,4,3,5,3,5,0,4,4,3,0,3,2,3,0,4,4,4,4,3,5,0,0,0
